degree,gamma,coef0,C,class_weight,kernel,true_positive,false_positive,true_negative,false_negative
4.0,1.0,1.0,10.0,balanced,poly,193,111,1477,144
5.0,1.156925355176084e-05,0.0,10.0,balanced,poly,152,809,779,185
5.0,1.156925355176084e-05,1.0,10.0,balanced,poly,294,358,1230,43
5.0,0.0001983713753468722,0.0,10.0,balanced,poly,93,484,1104,244
5.0,0.0001983713753468722,1.0,10.0,balanced,poly,275,242,1346,62
5.0,0.003401360544217687,0.0,10.0,balanced,poly,215,208,1380,122
5.0,0.003401360544217687,1.0,10.0,balanced,poly,225,120,1468,112
5.0,0.05832118435198043,0.0,10.0,balanced,poly,269,358,1230,68
5.0,0.05832118435198043,1.0,10.0,balanced,poly,223,136,1452,114
5.0,1.0,0.0,10.0,balanced,poly,262,377,1211,75
5.0,1.0,1.0,10.0,balanced,poly,255,344,1244,82
,1.156925355176084e-05,,10.0,balanced,rbf,301,430,1158,36
,0.0001983713753468722,,10.0,balanced,rbf,280,266,1322,57
,0.003401360544217687,,10.0,balanced,rbf,220,79,1509,117
,0.05832118435198043,,10.0,balanced,rbf,1,0,1588,336
,1.0,,10.0,balanced,rbf,0,0,1588,337
,,,100.0,balanced,linear,156,278,1310,181
2.0,1.156925355176084e-05,0.0,100.0,balanced,poly,300,1433,155,37
2.0,1.156925355176084e-05,1.0,100.0,balanced,poly,288,328,1260,49
2.0,0.0001983713753468722,0.0,100.0,balanced,poly,280,326,1262,57
2.0,0.0001983713753468722,1.0,100.0,balanced,poly,256,250,1338,81
2.0,0.003401360544217687,0.0,100.0,balanced,poly,202,124,1464,135
2.0,0.003401360544217687,1.0,100.0,balanced,poly,228,141,1447,109
2.0,0.05832118435198043,0.0,100.0,balanced,poly,195,126,1462,142
2.0,0.05832118435198043,1.0,100.0,balanced,poly,224,125,1463,113
2.0,1.0,0.0,100.0,balanced,poly,201,127,1461,136
2.0,1.0,1.0,100.0,balanced,poly,211,122,1466,126
3.0,1.156925355176084e-05,0.0,100.0,balanced,poly,227,1121,467,110
3.0,1.156925355176084e-05,1.0,100.0,balanced,poly,279,300,1288,58
3.0,0.0001983713753468722,0.0,100.0,balanced,poly,336,1386,202,1
3.0,0.0001983713753468722,1.0,100.0,balanced,poly,246,213,1375,91
3.0,0.003401360544217687,0.0,100.0,balanced,poly,222,184,1404,115
3.0,0.003401360544217687,1.0,100.0,balanced,poly,225,122,1466,112
3.0,0.05832118435198043,0.0,100.0,balanced,poly,223,183,1405,114
3.0,0.05832118435198043,1.0,100.0,balanced,poly,217,110,1478,120
3.0,1.0,0.0,100.0,balanced,poly,223,169,1419,114
3.0,1.0,1.0,100.0,balanced,poly,228,171,1417,109
4.0,1.156925355176084e-05,0.0,100.0,balanced,poly,203,952,636,134
4.0,1.156925355176084e-05,1.0,100.0,balanced,poly,276,293,1295,61
4.0,0.0001983713753468722,0.0,100.0,balanced,poly,337,1561,27,0
4.0,0.0001983713753468722,1.0,100.0,balanced,poly,241,198,1390,96
4.0,0.003401360544217687,0.0,100.0,balanced,poly,184,109,1479,153
4.0,0.003401360544217687,1.0,100.0,balanced,poly,230,128,1460,107
4.0,0.05832118435198043,0.0,100.0,balanced,poly,186,125,1463,151
